과목명,학년,구분,개설학과,시수,과목코드,교수,시간
사회봉사(1),1,일반선택,대학 학과공통,1/0/2,1000-9083,민경택,
교육봉사 2,1,교직,대학 학과공통,1/0/2,1000-9232,박환보,
교육봉사 1,1,교직,대학 학과공통,1/0/2,1000-9236,박환보,
성인지교육1,1,교직,대학 학과공통,0/0/0,1000-9581,박환보,
성인지교육2,1,교직,대학 학과공통,0/0/0,1000-9582,박환보,
성인지교육3,1,교직,대학 학과공통,0/0/0,1000-9583,박환보,
성인지교육4,1,교직,대학 학과공통,0/0/0,1000-9584,박환보,
현대사회와 직업의 세계,1,교양(일반),대학 학과공통,2/2/0,1001-7001,이명섭,화14:00~16:00(교111)
현대사회와 직업의 세계,1,교양(일반),대학 학과공통,2/2/0,1001-7001,이명섭,화16:00~18:00(교111)
직업과 진로,1,교양(일반),대학 학과공통,2/2/0,1001-7002,이명섭,목14:00~16:00(교111)
직업과 진로,1,교양(일반),대학 학과공통,2/2/0,1001-7002,이명섭,목16:00~18:00(교111)
스포츠융복합산업론,1,교양(일반),대학 학과공통,3/3/0,1001-7003,최재선,수12:00~13:30(교103A)| 금13:30~15:00(교103A)
현대인의 경제활동과 법률,1,교양(일반),대학 학과공통,3/3/0,1001-7007,김종희,목15:00~18:00(교105)
표현과예술심리치료,1,교양(일반),대학 학과공통,3/3/0,1001-7008,고홍월,화15:00~18:00(교208)| 화16:30~18:00(교208)
과학과문화,1,교양(일반),대학 학과공통,3/3/0,1001-7009,최인철,목10:00~13:00(농2402)
정의란무엇인가,1,교양(일반),대학 학과공통,3/3/0,1001-7010,신진,금10:00~13:00(교213)
범죄의진실과오해,1,교양(일반),대학 학과공통,3/3/0,1001-7012,곽대훈,월10:30~12:00(교111)| 화10:30~12:00(교214)
범죄의진실과오해,1,교양(일반),대학 학과공통,3/3/0,1001-7012,곽대훈,월16:30~18:00(교111)| 화13:30~15:00(교214)
공존을위한창의적설계,1,교양(일반),대학 학과공통,3/3/0,1001-7013,권재열,금09:00~12:00(교101)
분단현실과통일한국의미래,1,교양(일반),대학 학과공통,3/3/0,1001-7014,김학성,월10:30~12:00(사강403)| 수10:30~12:00(사강403)
창의적발상론,1,교양(일반),대학 학과공통,3/3/0,1001-7015,박경혜,금09:00~12:00(교408)
